model,task,horizon_hours,hour,n_samples,rmse,mae,mape,mean_abs_error
LSTM,seq6,3,20,218,29.959342301661128,18.871279961472258,33.534769298261565,18.871279961472258
LSTM,seq6,3,21,217,29.037023308152406,18.307185750952513,35.814567737076345,18.307185750952513
LSTM,seq6,3,22,217,30.681162368243267,19.333990299207276,40.170391798169696,19.333990299207276
LSTM,seq6,3,23,217,31.075308501123477,19.549191154093236,41.617196682200564,19.549191154093236
LSTM,seq6,4,0,217,43.88366163676626,26.261414960782098,63.70202583710138,26.261414960782098
LSTM,seq6,4,1,217,42.83632055312949,26.12351342829691,60.374869993565184,26.12351342829691
LSTM,seq6,4,2,217,41.32690326873901,25.47605141626525,59.09976738440881,25.47605141626525
LSTM,seq6,4,3,217,39.74759167512507,24.16849447725006,57.012428467264655,24.16849447725006
LSTM,seq6,4,4,217,30.330954791550923,19.72605913355603,42.69419147779019,19.72605913355603
LSTM,seq6,4,5,217,28.780276080311157,18.05119039166358,45.17508523649347,18.05119039166358
LSTM,seq6,4,6,217,26.187581552890745,16.417737930051743,39.76108776668016,16.417737930051743
LSTM,seq6,4,7,218,24.98059829789602,15.805947148471798,39.084599571594175,15.805947148471798
LSTM,seq6,4,8,218,23.891282340583576,15.427810216168744,37.16722761843159,15.427810216168744
LSTM,seq6,4,9,218,23.164090271878834,15.146339534619532,34.591995792136,15.146339534619532
LSTM,seq6,4,10,218,26.76242017094595,16.966377719826653,36.4384310531268,16.966377719826653
LSTM,seq6,4,11,218,29.52249054271294,18.484594076051625,43.95458285560033,18.484594076051625
LSTM,seq6,4,12,218,29.39055641117512,19.141892352235427,51.73038743204192,19.141892352235427
LSTM,seq6,4,13,218,27.54041440559232,17.602889233772906,49.71326523537334,17.602889233772906
LSTM,seq6,4,14,218,25.73650291072201,16.307794439683267,40.204288317270425,16.307794439683267
LSTM,seq6,4,15,218,26.182694624864197,16.196402803473518,37.122311519542336,16.196402803473518
LSTM,seq6,4,16,218,29.826215453252665,17.676317685241,45.84162959674726,17.676317685241
LSTM,seq6,4,17,218,30.607921358289936,18.43579433817382,47.45276343672168,18.43579433817382
LSTM,seq6,4,18,218,30.36327958362105,18.198745650982637,39.820815388948276,18.198745650982637
LSTM,seq6,4,19,218,33.30878914196297,20.047518413001246,38.551077510608685,20.047518413001246
LSTM,seq6,4,20,218,33.38914665241759,21.073002038745706,37.75055419785925,21.073002038745706
LSTM,seq6,4,21,218,31.568305390170767,20.18787107773877,41.56966628826554,20.18787107773877
LSTM,seq6,4,22,217,32.492835030065656,20.54970987161733,44.37514921302228,20.54970987161733
LSTM,seq6,4,23,217,32.87585592169239,20.904707157117432,47.22863045422365,20.904707157117432
LSTM,seq6,5,0,217,44.498329658867156,27.17183955144223,68.44355258631774,27.17183955144223
LSTM,seq6,5,1,217,43.34850925287722,26.97807946183165,68.36178296494663,26.97807946183165
LSTM,seq6,5,2,217,42.12793732144922,26.936904850094,68.29487938121164,26.936904850094
LSTM,seq6,5,3,217,40.86652415709631,25.622600471918485,66.89174892902757,25.622600471918485
LSTM,seq6,5,4,217,40.753478054370596,25.32467821885913,63.43800087793022,25.32467821885913
LSTM,seq6,5,5,217,32.355219625157766,20.93057663209977,54.10768587242575,20.93057663209977
LSTM,seq6,5,6,217,30.03411309184919,19.030727575451547,53.3008659167035,19.030727575451547
LSTM,seq6,5,7,217,28.114568206049235,18.115674475920365,48.3899593919076,18.115674475920365
LSTM,seq6,5,8,218,26.770817991855633,17.532429507019323,46.32302109937436,17.532429507019323
LSTM,seq6,5,9,218,27.144626539012187,17.640223958076685,46.57884921119602,17.640223958076685
LSTM,seq6,5,10,218,28.087613858722236,18.312779684679224,42.91891144012997,18.312779684679224
LSTM,seq6,5,11,218,31.629327099651615,19.96673218700864,49.14772844684178,19.96673218700864
LSTM,seq6,5,12,218,31.89070331132164,20.87805161782361,60.377917506365684,20.87805161782361
LSTM,seq6,5,13,218,30.94743360796008,20.440916446370817,63.08199885828218,20.440916446370817
LSTM,seq6,5,14,218,30.00982488245067,18.972152259371697,60.1090537446951,18.972152259371697
LSTM,seq6,5,15,218,29.106060431026552,18.248051013421573,47.226662039447305,18.248051013421573
LSTM,seq6,5,16,218,29.14333216489189,18.180685410805797,51.48452634171841,18.180685410805797
LSTM,seq6,5,17,218,34.01090707624862,20.307200729300124,53.152597413214686,20.307200729300124
LSTM,seq6,5,18,218,34.31260801152022,20.89949390866341,49.712166563699235,20.89949390866341
LSTM,seq6,5,19,218,34.79771182584945,21.396982459846985,46.07710681033442,21.396982459846985
LSTM,seq6,5,20,218,36.8224616049634,23.261231702402096,44.511361459908045,23.261231702402096
LSTM,seq6,5,21,218,35.10845587017843,22.656328249415125,46.21930136143507,22.656328249415125
LSTM,seq6,5,22,218,34.69947727945095,22.299879034724803,49.58497264401046,22.299879034724803
LSTM,seq6,5,23,217,34.74267916439659,22.298730964484854,51.202061464621366,22.298730964484854
LSTM,seq6,6,0,217,45.57609180578819,28.051846814045707,71.37480517936908,28.051846814045707
LSTM,seq6,6,1,217,43.92863308234842,27.7400451431626,72.83841113889568,27.7400451431626
LSTM,seq6,6,2,217,42.79082850686067,28.07041839959984,77.27427030990569,28.07041839959984
LSTM,seq6,6,3,217,41.661774471121916,26.988271344092585,76.7491515292357,26.988271344092585
LSTM,seq6,6,4,217,41.73612718441668,26.73380074962493,73.55655683786993,26.73380074962493
LSTM,seq6,6,5,217,42.01691076050883,26.680123535718785,75.77766302664226,26.680123535718785
LSTM,seq6,6,6,217,34.098490124647796,22.15517481131488,64.31810827497135,22.15517481131488
LSTM,seq6,6,7,217,31.905072039190152,20.897470203962193,62.77763218559068,20.897470203962193
LSTM,seq6,6,8,217,29.94043299192826,20.006536945219963,56.60550425138092,20.006536945219963
LSTM,seq6,6,9,218,29.717678466677995,19.33933169907386,55.902028442621784,19.33933169907386
LSTM,seq6,6,10,218,31.479527477836516,20.913769017665757,55.60617783598811,20.913769017665757
LSTM,seq6,6,11,218,32.83846734793763,21.449557531864272,56.605868182763906,21.449557531864272
LSTM,seq6,6,12,218,33.94541178890668,21.954742107916317,66.0905240373492,21.954742107916317
LSTM,seq6,6,13,218,33.577366287858645,22.181367351374494,72.15077860310252,22.181367351374494
LSTM,seq6,6,14,218,33.428665879705136,21.820036671577245,74.26531688293156,21.820036671577245
LSTM,seq6,6,15,218,33.250097165169514,21.06303789856237,67.43259566386713,21.06303789856237
LSTM,seq6,6,16,218,32.0093834899148,20.22650780152837,61.79679635216889,20.22650780152837
LSTM,seq6,6,17,218,33.20987471175238,21.134514408374052,59.317286404975135,21.134514408374052
LSTM,seq6,6,18,218,37.9940953518038,22.88593351512874,55.30356276589106,22.88593351512874
LSTM,seq6,6,19,218,38.79307619357848,24.077010896227776,57.21320085801123,24.077010896227776
LSTM,seq6,6,20,218,39.097416722885306,25.007758123065354,52.453762658347244,25.007758123065354
LSTM,seq6,6,21,218,38.46997221751089,24.905406542874257,53.319270407513464,24.905406542874257
LSTM,seq6,6,22,218,38.18988469399357,24.979902755229844,54.185971432018086,24.979902755229844
LSTM,seq6,6,23,218,37.123518950820085,24.06287975923731,56.14111209034903,24.06287975923731
Prophet,h1,1,0,220,37.61573545743277,13.853045164346932,36.18312548154735,13.853045164346932
Prophet,h1,1,1,220,12.967159240670613,7.7322027165773175,18.9261942240338,7.7322027165773175
Prophet,h1,1,2,220,9.246496434865396,5.873482215856118,18.740588240042623,5.873482215856118
Prophet,h1,1,3,220,11.948836972256382,6.4862982973020635,20.14671950308651,6.4862982973020635
Prophet,h1,1,4,220,6.609802503667885,4.756312661373481,16.928634458212876,4.756312661373481
Prophet,h1,1,5,221,8.599200618077328,5.639188445289282,18.28005374583493,5.639188445289282
Prophet,h1,1,6,221,8.937642424599476,5.991875921476232,20.81198498199425,5.991875921476232
Prophet,h1,1,7,221,7.5017949756248035,5.582428691684107,21.557743261444763,5.582428691684107
Prophet,h1,1,8,221,7.992799238124293,6.541237208506954,24.840605101688965,6.541237208506954
Prophet,h1,1,9,221,8.764484059660393,6.997998793081689,28.145823864798864,6.997998793081689
Prophet,h1,1,10,221,10.1343439235948,7.831198892434731,29.660399664443656,7.831198892434731
Prophet,h1,1,11,221,9.965313513809043,6.898422321250122,27.214558857777167,6.898422321250122
Prophet,h1,1,12,221,8.770564045779155,6.622127313449133,25.990489622005793,6.622127313449133
Prophet,h1,1,13,221,8.28071974876081,6.146854746057139,24.275460028627485,6.146854746057139
Prophet,h1,1,14,221,8.73382228535707,6.77124765447917,29.664159676986646,6.77124765447917
Prophet,h1,1,15,221,9.536338983930873,6.871478756712639,31.886063748318954,6.871478756712639
Prophet,h1,1,16,221,8.064029007999556,6.387620534796127,28.26425730646209,6.387620534796127
Prophet,h1,1,17,221,8.896117435036045,6.327758509138326,25.62784328541593,6.327758509138326
Prophet,h1,1,18,221,9.294042473888187,6.551930020587964,25.11594091989079,6.551930020587964
Prophet,h1,1,19,221,9.084809345184661,7.024660969915387,25.477132295519745,7.024660969915387
Prophet,h1,1,20,221,8.855670042518517,6.759053004238572,23.529302106008473,6.759053004238572
Prophet,h1,1,21,221,9.991534149988459,7.190568634481405,23.281197652260634,7.190568634481405
Prophet,h1,1,22,221,8.95517380243891,6.395878062842731,20.465493640359465,6.395878062842731
Prophet,h1,1,23,221,7.406290289575882,5.262469564346747,15.174925333758122,5.262469564346747
Prophet,seq6,1,0,220,37.61573545743277,13.853045164346932,36.18312548154735,13.853045164346932
Prophet,seq6,1,1,220,12.967159240670613,7.7322027165773175,18.9261942240338,7.7322027165773175
Prophet,seq6,1,2,220,9.246496434865396,5.873482215856118,18.740588240042623,5.873482215856118
Prophet,seq6,1,3,220,11.948836972256382,6.4862982973020635,20.14671950308651,6.4862982973020635
Prophet,seq6,1,4,220,6.609802503667885,4.756312661373481,16.928634458212876,4.756312661373481
Prophet,seq6,1,5,221,8.599200618077328,5.639188445289282,18.28005374583493,5.639188445289282
