model,task,horizon_hours,dayperiod,n_samples,rmse,mae,mape,mean_abs_error
Transformer,seq6,3,overnight,1302,32.802451861335236,17.990592555676553,42.97165649050337,17.990592555676553
Transformer,seq6,4,daytime,1526,25.104578525320086,15.762484309831109,45.20331145120003,15.762484309831109
Transformer,seq6,4,evening_peak,872,25.09871035769163,15.654354402231514,42.1871577908666,15.654354402231514
Transformer,seq6,4,morning_peak,871,22.32639503691988,15.074838110862725,42.87199373010197,15.074838110862725
Transformer,seq6,4,night,652,26.274449567809768,17.29800772273833,43.93258222275737,17.29800772273833
Transformer,seq6,4,overnight,1302,36.18355533638805,21.032540667006682,52.62630821076056,21.032540667006682
Transformer,seq6,5,daytime,1526,28.178042128724893,18.09099359195167,53.58951119523523,18.09099359195167
Transformer,seq6,5,evening_peak,872,29.399176083683106,18.217487095966252,49.36626847778648,18.217487095966252
Transformer,seq6,5,morning_peak,870,26.59288066750324,17.773485149871345,50.31345732990172,17.773485149871345
Transformer,seq6,5,night,653,28.892017908230745,18.976351158085862,47.400144995661506,18.976351158085862
Transformer,seq6,5,overnight,1302,39.09958330293614,23.704671586667704,62.91621347610964,23.704671586667704
Transformer,seq6,6,daytime,1526,31.185284929167278,20.352459536076843,63.187746413557754,20.352459536076843
Transformer,seq6,6,evening_peak,872,32.891348844014374,20.850676600812772,57.01857291523721,20.850676600812772
Transformer,seq6,6,morning_peak,869,30.86723445932322,20.752972169012963,58.435472056090255,20.752972169012963
Transformer,seq6,6,night,654,31.97055443346252,20.898301657369014,51.779950014406474,20.898301657369014
Transformer,seq6,6,overnight,1302,41.09147350268184,25.826425868382653,72.45667638900728,25.826425868382653
XGBoost,h1,1,daytime,1547,7.944202061770916,4.473455353756097,10.576374060272254,4.473455353756097
XGBoost,h1,1,evening_peak,884,9.125360323465568,4.947876489562575,10.66469539022341,4.947876489562575
XGBoost,h1,1,morning_peak,884,6.653624380795207,4.2146871272084505,9.966486122166387,4.2146871272084505
XGBoost,h1,1,night,663,8.070034629686479,4.9735218068363425,10.568363398092954,4.9735218068363425
XGBoost,h1,1,overnight,1321,17.878324379338135,6.771640959036122,14.306766991111688,6.771640959036122
XGBoost,seq6,1,daytime,1547,7.944202061770916,4.473455353756097,10.576374060272254,4.473455353756097
XGBoost,seq6,1,evening_peak,884,9.125360323465568,4.947876489562575,10.66469539022341,4.947876489562575
XGBoost,seq6,1,morning_peak,884,6.653624380795207,4.2146871272084505,9.966486122166387,4.2146871272084505
XGBoost,seq6,1,night,663,8.070034629686479,4.9735218068363425,10.568363398092954,4.9735218068363425
XGBoost,seq6,1,overnight,1321,17.878324379338135,6.771640959036122,14.306766991111688,6.771640959036122
XGBoost,seq6,2,daytime,1547,14.399851960662986,8.167899463940236,18.521614780603876,8.167899463940236
XGBoost,seq6,2,evening_peak,884,14.950671888174114,8.62449168630008,18.11925250983469,8.62449168630008
XGBoost,seq6,2,morning_peak,884,11.904587264841394,7.228954366393076,17.696608067012896,7.228954366393076
XGBoost,seq6,2,night,663,15.364783143534996,9.10076989546535,21.11975184659009,9.10076989546535
XGBoost,seq6,2,overnight,1321,25.262471064393804,11.567829711704945,25.803676751558196,11.567829711704945
XGBoost,seq6,3,daytime,1547,19.740368339842217,11.694063166498244,28.25833211939095,11.694063166498244
XGBoost,seq6,3,evening_peak,884,19.892375923881627,11.844601295614423,27.15499943874648,11.844601295614423
XGBoost,seq6,3,morning_peak,884,17.694095322618566,10.949625500142638,28.21266750854388,10.949625500142638
